,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
445,-6.97E-04,-8.50E-05,-1.95E-05,2.65E-04,-8.17E-05,2.85E-05,1.51E-04,-8.45E-05,-5.31E-06,-8.12E-05,-2.64E-04,3.49E-05,-9.79E-04,-1.35E-04,-2.50E-05,2.62E-04,-1.30E-04,4.74E-05,5.67E-05,-1.37E-04,3.35E-05
450,-2.19E-04,-6.19E-05,-1.04E-05,1.28E-04,-5.91E-05,2.18E-05,-3.86E-05,-6.16E-05,-2.50E-06,-5.90E-05,-1.29E-04,2.32E-05,-4.57E-04,-6.09E-05,1.82E-06,1.28E-04,-5.26E-05,3.17E-05,2.43E-05,-5.75E-05,3.03E-05
455,-1.72E-04,-3.15E-05,-1.10E-07,1.66E-04,-2.97E-05,1.22E-05,-6.26E-05,-3.17E-05,8.62E-07,-3.02E-05,-1.67E-04,7.63E-06,-3.35E-04,1.16E-05,2.73E-05,1.68E-04,2.17E-05,1.42E-05,-8.46E-05,1.88E-05,2.51E-05
460,-1.55E-04,-2.27E-05,1.91E-06,1.70E-04,-2.15E-05,8.82E-06,-7.04E-05,-2.33E-05,1.40E-06,-2.22E-05,-1.72E-04,2.73E-06,-2.92E-04,3.24E-05,3.37E-05,1.73E-04,4.25E-05,8.33E-06,-1.10E-04,4.03E-05,2.16E-05
465,-1.48E-04,-2.19E-05,9.93E-07,1.66E-04,-2.12E-05,7.74E-06,-7.35E-05,-2.29E-05,8.64E-07,-2.19E-05,-1.67E-04,1.54E-06,-2.75E-04,3.69E-05,3.45E-05,1.68E-04,4.68E-05,6.62E-06,-1.08E-04,4.48E-05,1.96E-05
470,-1.45E-04,-2.43E-05,-9.82E-07,1.57E-04,-2.41E-05,7.58E-06,-7.42E-05,-2.55E-05,-9.79E-08,-2.46E-05,-1.59E-04,1.74E-06,-2.68E-04,3.53E-05,3.31E-05,1.59E-04,4.49E-05,6.43E-06,-9.70E-05,4.29E-05,1.84E-05
475,-1.42E-04,-2.67E-05,-2.84E-06,1.49E-04,-2.68E-05,7.54E-06,-7.50E-05,-2.81E-05,-9.98E-07,-2.73E-05,-1.51E-04,2.15E-06,-2.64E-04,3.29E-05,3.15E-05,1.51E-04,4.22E-05,6.52E-06,-8.56E-05,4.03E-05,1.75E-05
480,-1.40E-04,-2.87E-05,-4.46E-06,1.42E-04,-2.91E-05,7.50E-06,-7.59E-05,-3.03E-05,-1.80E-06,-2.96E-05,-1.44E-04,2.55E-06,-2.60E-04,3.08E-05,3.00E-05,1.44E-04,3.97E-05,6.63E-06,-7.57E-05,3.79E-05,1.67E-05
485,-1.37E-04,-3.05E-05,-5.93E-06,1.36E-04,-3.13E-05,7.47E-06,-7.69E-05,-3.23E-05,-2.54E-06,-3.17E-05,-1.37E-04,2.94E-06,-2.56E-04,2.87E-05,2.87E-05,1.38E-04,3.74E-05,6.75E-06,-6.66E-05,3.57E-05,1.60E-05
490,-1.35E-04,-3.23E-05,-7.28E-06,1.30E-04,-3.33E-05,7.46E-06,-7.78E-05,-3.42E-05,-3.23E-06,-3.37E-05,-1.31E-04,3.31E-06,-2.53E-04,2.69E-05,2.75E-05,1.32E-04,3.54E-05,6.88E-06,-5.82E-05,3.36E-05,1.54E-05
495,-1.33E-04,-3.39E-05,-8.52E-06,1.25E-04,-3.52E-05,7.47E-06,-7.86E-05,-3.60E-05,-3.88E-06,-3.55E-05,-1.26E-04,3.67E-06,-2.50E-04,2.51E-05,2.63E-05,1.26E-04,3.34E-05,7.01E-06,-5.05E-05,3.17E-05,1.49E-05
500,-1.31E-04,-3.55E-05,-9.66E-06,1.20E-04,-3.69E-05,7.49E-06,-7.93E-05,-3.76E-05,-4.49E-06,-3.72E-05,-1.21E-04,4.01E-06,-2.47E-04,2.35E-05,2.53E-05,1.21E-04,3.16E-05,7.13E-06,-4.34E-05,3.00E-05,1.45E-05
505,8.765232001,-0.282882317,0.012458396,-1.236301222,-0.270950235,-0.019462154,0.129995389,-0.249093183,-0.108157413,-0.271059419,1.235980356,-0.01926934,1.388200122,0.017422024,-0.086642276,-1.232700987,-0.023331639,-0.085512145,1.500377143,-0.016093668,-0.08673178
510,10.13646002,0.034345698,-0.006391272,0.136400785,0.008648346,-0.024504934,0.281069118,0.011938036,-0.017961608,0.008635857,-0.13609824,-0.024920146,0.29199951,0.678605641,0.038143458,0.139138183,0.681682745,-0.014742742,-0.295532019,0.672160081,-0.108662158
515,1.136866199,-0.260948852,-0.240539903,-0.734240225,0.35319958,0.07764241,0.407655491,0.322105934,0.16273491,0.353184523,0.734109771,0.077711199,0.864589048,-0.131069527,-0.169076028,-0.720270133,-0.146067067,-0.155914933,0.040021593,-0.154880694,-0.145042395
520,-0.417578001,-0.084561975,-0.011861996,0.016816541,0.085940468,-0.019493192,0.12638493,0.08946582,-0.001950316,0.085925384,-0.017055524,-0.019057003,0.116908368,0.188398262,-0.010055392,0.022951395,0.189066174,-0.008228749,-1.336559847,0.186973895,0.021140912
525,-0.136909963,-0.002720152,-0.002182368,3.53E-04,0.004085947,2.70E-04,0.003193869,0.004198331,5.52E-04,0.004086611,-3.13E-04,1.26E-04,9.88E-04,-5.53E-04,7.98E-05,3.15E-04,-3.13E-04,6.17E-04,0.01706128,-3.83E-04,0.003228362
530,-0.045165187,-3.30E-04,-7.19E-04,-6.52E-04,8.32E-04,2.95E-04,2.87E-04,8.58E-04,2.18E-04,8.32E-04,6.54E-04,2.70E-04,3.22E-04,-0.00120854,2.14E-05,-6.77E-04,-0.001130143,1.75E-04,0.006700989,-0.001127029,8.20E-04
535,-0.014750426,-9.34E-05,-2.29E-04,-2.03E-04,2.57E-04,9.56E-05,3.73E-05,2.67E-04,6.60E-05,2.57E-04,2.04E-04,8.72E-05,5.38E-05,-3.94E-04,6.58E-06,-2.11E-04,-3.68E-04,5.82E-05,0.002179765,-3.67E-04,2.68E-04
540,-0.004821176,-2.51E-05,-7.30E-05,-5.42E-05,7.74E-05,2.91E-05,-1.42E-05,8.09E-05,1.53E-05,7.74E-05,5.55E-05,2.24E-05,-8.40E-05,-1.30E-04,-6.77E-06,-5.67E-05,-1.21E-04,1.33E-05,6.46E-04,-1.20E-04,8.54E-05
545,-0.001575067,-5.65E-06,-6.60E-06,-7.70E-06,1.87E-05,6.09E-06,-2.54E-05,2.02E-05,-1.11E-06,1.88E-05,8.93E-06,9.16E-07,-6.50E-05,-1.89E-05,-1.21E-05,-8.00E-06,-1.56E-05,-4.99E-07,1.20E-04,-1.66E-05,3.29E-05
550,-5.16E-04,-8.12E-07,1.62E-05,2.71E-06,9.94E-07,-1.55E-06,-3.07E-05,1.78E-06,-5.43E-06,1.03E-06,-1.79E-06,-5.32E-06,-6.44E-05,9.28E-06,-1.22E-05,3.50E-06,1.06E-05,-4.80E-06,-4.30E-05,9.48E-06,1.34E-05
555,-4.61E-05,-3.37E-07,1.82E-05,3.37E-06,-3.55E-06,-4.14E-06,-3.40E-05,-2.98E-06,-6.10E-06,-3.52E-06,-2.73E-06,-6.83E-06,-6.72E-05,1.34E-05,-1.09E-05,4.74E-06,1.40E-05,-5.97E-06,-8.97E-05,1.32E-05,5.52E-06
560,1.24E-04,-4.85E-07,1.97E-05,2.06E-06,-3.91E-06,-4.24E-06,-3.76E-05,-3.56E-06,-5.27E-06,-3.88E-06,-1.55E-06,-6.43E-06,-7.13E-05,9.50E-06,-9.62E-06,3.47E-06,9.83E-06,-6.10E-06,-9.95E-05,9.36E-06,1.50E-06
565,1.64E-04,-8.29E-07,1.87E-05,-5.15E-08,-3.29E-06,-3.96E-06,-4.06E-05,-3.07E-06,-4.38E-06,-3.27E-06,4.52E-07,-5.72E-06,-7.34E-05,4.64E-06,-8.48E-06,1.38E-06,4.85E-06,-5.98E-06,-9.85E-05,4.69E-06,-8.37E-07
570,1.63E-04,-1.04E-06,1.70E-05,-2.07E-06,-2.64E-06,-3.62E-06,-4.33E-05,-2.48E-06,-3.65E-06,-2.62E-06,2.38E-06,-5.03E-06,-7.38E-05,4.81E-07,-7.57E-06,-6.33E-07,6.23E-07,-5.82E-06,-9.54E-05,7.26E-07,-2.38E-06
575,1.50E-04,-1.11E-06,1.51E-05,-3.67E-06,-2.14E-06,-3.31E-06,-4.58E-05,-2.03E-06,-3.09E-06,-2.13E-06,3.91E-06,-4.45E-06,-7.29E-05,-2.75E-06,-6.85E-06,-2.24E-06,-2.65E-06,-5.67E-06,-9.22E-05,-2.34E-06,-3.46E-06
580,1.35E-04,-1.13E-06,1.34E-05,-4.87E-06,-1.75E-06,-3.04E-06,-4.81E-05,-1.66E-06,-2.67E-06,-1.74E-06,5.06E-06,-3.98E-06,-7.10E-05,-5.05E-06,-6.29E-06,-3.44E-06,-4.97E-06,-5.53E-06,-8.97E-05,-4.50E-06,-4.21E-06
585,1.21E-04,-1.09E-06,1.18E-05,-5.75E-06,-1.47E-06,-2.81E-06,-5.02E-05,-1.38E-06,-2.35E-06,-1.45E-06,5.90E-06,-3.60E-06,-6.84E-05,-6.61E-06,-5.86E-06,-4.34E-06,-6.56E-06,-5.40E-06,-8.79E-05,-5.97E-06,-4.75E-06
590,1.08E-04,-1.03E-06,1.04E-05,-6.39E-06,-1.26E-06,-2.63E-06,-5.21E-05,-1.18E-06,-2.11E-06,-1.25E-06,6.51E-06,-3.29E-06,-6.54E-05,-7.63E-06,-5.53E-06,-5.00E-06,-7.58E-06,-5.29E-06,-8.66E-05,-6.90E-06,-5.12E-06
595,9.57E-05,-9.41E-07,9.22E-06,-6.85E-06,-1.11E-06,-2.47E-06,-5.38E-05,-1.03E-06,-1.93E-06,-1.10E-06,6.94E-06,-3.03E-06,-6.21E-05,-8.23E-06,-5.27E-06,-5.48E-06,-8.19E-06,-5.20E-06,-8.58E-05,-7.44E-06,-5.37E-06
600,8.50E-05,-8.46E-07,8.18E-06,-7.17E-06,-1.01E-06,-2.33E-06,-5.54E-05,-9.22E-07,-1.80E-06,-1.00E-06,7.25E-06,-2.83E-06,-5.87E-05,-8.53E-06,-5.07E-06,-5.83E-06,-8.50E-06,-5.12E-06,-8.54E-05,-7.69E-06,-5.54E-06
605,-9.901846003,-0.009354217,0.050285895,0.098054394,-0.031121786,-0.040355669,2.2428803,-0.025259593,-0.044271158,-0.03110575,-0.097958884,-0.040453063,-0.200690086,-0.095853138,-0.001658913,0.105894606,-0.095831697,-0.001980866,-0.048698592,-0.093147697,-0.022592717
610,-9.743526364,-0.168960093,0.015478863,0.256133561,-0.130825205,-0.11474421,-0.417227128,-0.138968593,-0.10469261,-0.130826811,-0.256224295,-0.114499222,-0.591725874,0.273133834,-0.022569244,0.280128411,0.27346248,-0.014863684,0.074611659,0.270314452,0.043666002
615,-9.085990269,0.20713273,-0.281062552,0.650871262,0.121450976,-0.319775358,-0.188667904,0.108327286,-0.324718427,0.121480932,-0.650737341,-0.320072628,-1.253048215,0.72057538,0.100133111,0.724115965,0.726314778,-0.035835279,0.090587842,0.706061191,0.173968043
620,-4.588429467,0.370654505,0.184530439,0.53443378,0.321717484,-0.259397329,1.612521555,0.312633512,-0.2709249,0.321761175,-0.534519315,-0.259228123,-1.185664189,0.333148694,0.119681086,0.59160071,0.34925932,-0.056508087,0.349893935,0.346160591,0.073121923
625,-0.507229198,0.210381714,-0.341460107,0.238645085,-0.33580984,-0.23934776,-0.588075305,-0.290329967,-0.295840349,-0.335806678,-0.238690478,-0.239184229,0.157380486,0.414289046,0.292425242,0.319630587,0.496016518,-0.104732245,-0.152966429,0.494924573,0.108163854
630,-0.05400324,0.038973453,-0.173242152,0.054436829,-0.176772733,-0.041454416,-0.29456606,-0.160622335,-0.08404191,-0.176775411,-0.054457802,-0.041433183,-0.064161716,0.034475973,0.033404627,0.068137735,0.047316862,-0.006394196,0.055339146,0.045313451,0.01510498
635,0.003393626,-0.016753968,-0.337075864,0.019152408,-0.338412266,0.016129705,-0.484428659,-0.327612405,-0.084194029,-0.338412042,-0.019142891,0.01610921,0.011640992,-0.073925942,-0.044501384,0.007608954,-0.082557651,0.024533911,0.002297756,-0.085304594,-0.012233928
640,2.85E-04,-0.010443345,-0.110708983,0.00153279,-0.11114392,0.010405816,-0.156872841,-0.108725939,-0.024531782,-0.111144459,-0.001551984,0.010365378,0.01287912,-0.029950142,-0.018501174,-0.004246092,-0.033763943,0.009745692,-0.003371678,-0.034738478,-0.005341847
645,-2.70E-04,-8.34E-05,5.79E-04,-1.30E-04,3.97E-04,9.65E-05,-1.38E-04,4.25E-04,-7.52E-05,3.93E-04,1.38E-04,3.20E-05,6.75E-04,4.40E-04,5.70E-04,-9.08E-05,7.12E-04,-6.54E-05,5.08E-04,6.76E-04,2.62E-04
650,-8.54E-05,-3.45E-05,1.84E-04,-6.92E-05,1.24E-04,3.89E-05,-2.62E-05,1.30E-04,-1.87E-05,1.23E-04,7.20E-05,1.63E-05,1.13E-04,1.47E-04,1.71E-04,-5.36E-05,2.24E-04,-3.36E-05,1.67E-04,2.19E-04,6.86E-05
655,-5.12E-05,-1.69E-05,5.61E-05,-5.01E-05,3.60E-05,1.83E-05,1.14E-05,3.58E-05,-1.53E-06,3.55E-05,5.09E-05,9.57E-06,-7.00E-05,5.49E-05,4.31E-05,-4.12E-05,6.85E-05,-2.45E-05,5.47E-05,7.38E-05,6.16E-06
660,-4.45E-05,-1.14E-05,1.37E-05,-4.45E-05,6.87E-06,1.17E-05,2.28E-05,4.68E-06,4.02E-06,6.70E-06,4.45E-05,7.75E-06,-1.28E-04,2.48E-05,1.61E-06,-3.77E-05,1.80E-05,-2.12E-05,1.84E-05,2.65E-05,-1.38E-05
665,-4.92E-05,-1.63E-05,-7.06E-06,-4.71E-05,-8.33E-06,1.53E-05,1.99E-05,-1.16E-05,8.55E-06,-8.25E-06,4.64E-05,1.39E-05,-1.40E-04,7.41E-06,-1.45E-05,-4.31E-05,-4.74E-06,-1.56E-05,1.68E-05,3.42E-06,-1.88E-05
670,-5.01E-05,-1.71E-05,-1.26E-05,-4.77E-05,-1.23E-05,1.58E-05,2.15E-05,-1.58E-05,9.88E-06,-1.21E-05,4.68E-05,1.51E-05,-1.41E-04,3.46E-06,-1.86E-05,-4.44E-05,-1.03E-05,-1.44E-05,1.29E-05,-2.14E-06,-2.02E-05
675,-4.95E-05,-1.67E-05,-1.38E-05,-4.73E-05,-1.30E-05,1.55E-05,2.35E-05,-1.67E-05,1.01E-05,-1.28E-05,4.64E-05,1.49E-05,-1.39E-04,3.37E-06,-1.91E-05,-4.41E-05,-1.07E-05,-1.44E-05,8.65E-06,-2.55E-06,-2.04E-05
680,-4.92E-05,-1.59E-05,-1.30E-05,-4.72E-05,-1.22E-05,1.48E-05,2.64E-05,-1.59E-05,1.00E-05,-1.21E-05,4.64E-05,1.41E-05,-1.36E-04,5.00E-06,-1.82E-05,-4.38E-05,-9.09E-06,-1.50E-05,4.31E-06,-8.45E-07,-2.02E-05
685,-4.87E-05,-1.50E-05,-1.20E-05,-4.68E-05,-1.13E-05,1.40E-05,2.87E-05,-1.50E-05,9.77E-06,-1.12E-05,4.61E-05,1.33E-05,-1.33E-04,6.70E-06,-1.71E-05,-4.32E-05,-7.25E-06,-1.56E-05,3.03E-07,1.05E-06,-2.00E-05
690,-4.80E-05,-1.43E-05,-1.11E-05,-4.64E-05,-1.06E-05,1.34E-05,3.05E-05,-1.41E-05,9.51E-06,-1.05E-05,4.58E-05,1.26E-05,-1.30E-04,8.10E-06,-1.61E-05,-4.27E-05,-5.70E-06,-1.61E-05,-3.14E-06,2.63E-06,-1.97E-05
695,-4.75E-05,-1.37E-05,-1.03E-05,-4.61E-05,-9.90E-06,1.29E-05,3.14E-05,-1.34E-05,9.35E-06,-9.82E-06,4.55E-05,1.21E-05,-1.28E-04,8.69E-06,-1.55E-05,-4.25E-05,-5.06E-06,-1.63E-05,-5.48E-06,3.27E-06,-1.97E-05
700,-4.69E-05,-1.31E-05,-9.65E-06,-4.58E-05,-9.32E-06,1.25E-05,3.22E-05,-1.28E-05,9.16E-06,-9.25E-06,4.52E-05,1.17E-05,-1.26E-04,9.26E-06,-1.48E-05,-4.22E-05,-4.40E-06,-1.64E-05,-7.70E-06,3.91E-06,-1.97E-05
705,0.054707997,-0.185121509,0.254698313,-0.610782644,0.24909256,0.192383113,3.398009103,0.21400748,0.22942248,0.249098223,0.610891754,0.192407475,9.385961507,0.550337615,0.011406679,-0.615288175,0.515627687,-0.178642875,0.015886363,0.543953103,0.043445335
710,-0.911174182,0.079148513,0.622449871,-0.723712355,0.625587058,-0.037352539,-0.198535647,0.61854998,-0.124513201,0.625612871,0.723674064,-0.037496042,9.40741702,-0.416935235,-0.17451125,-0.595267291,0.047898681,-0.413454828,-0.329286793,0.17951694,-0.377196327
715,-0.168190757,-0.072564226,0.398774675,-0.5542247,0.394114217,0.095510179,0.756481729,0.404877232,-0.006064451,0.394187908,0.554712937,0.09557548,-6.045086169,-0.576923506,-0.01378256,-0.542093542,0.59902821,-0.161178345,0.04062199,0.618357858,0.006389366
720,-0.611412477,-0.077677224,-0.089199975,-0.337363695,-0.091410062,0.075647759,-0.741456822,-0.08004448,0.085232297,-0.091395564,0.337372782,0.075592353,-2.073168966,-0.471840691,-0.056634618,-0.334537546,0.481994755,-0.090026086,-0.674454917,0.489084513,0.021636863
725,-0.023059993,0.017369976,-0.039855097,0.026039823,-0.040021377,-0.01717618,-0.644785084,-0.042253336,-0.010939144,-0.040034404,-0.025865719,-0.017570569,-0.100017526,-0.024038274,-0.010225002,0.030940034,0.030787033,-0.002164053,-0.037727805,0.030015227,0.005721946
730,0.015244358,0.003929678,-0.021067935,0.022690561,-0.021183725,-0.003805882,-0.018699279,-0.021579225,-0.001275746,-0.021185861,-0.022611634,-0.003967204,-0.021079611,-0.010680028,-0.014165995,0.021342716,0.016920279,0.008018571,-0.031937101,0.014120471,0.012061286
735,0.011782867,0.001564092,-0.013287554,0.012853207,-0.013327003,-0.001517187,-0.010760501,-0.013441685,4.90E-05,-0.01332695,-0.012825533,-0.001570063,-0.002154419,-0.010175353,-0.010452181,0.011725244,0.013992613,0.005289372,-0.018858647,0.011964145,0.008901805
740,0.002452402,2.81E-04,-0.002820004,0.002601759,-0.002834396,-2.64E-04,-0.001916621,-0.002856023,5.30E-05,-0.002834565,-0.002589152,-2.82E-04,-0.002222657,-0.001501838,-0.001934731,0.002339821,0.002314177,0.001087581,-0.003681833,0.00191356,0.001669967
745,4.55E-04,8.14E-05,-5.52E-04,4.82E-04,-5.49E-04,-7.68E-05,-2.48E-04,-5.52E-04,-2.90E-05,-5.50E-04,-4.82E-04,-7.45E-05,-0.00105062,-9.72E-05,-2.88E-04,4.46E-04,2.58E-04,1.94E-04,-6.93E-04,1.92E-04,2.51E-04
750,1.51E-04,5.12E-05,-1.52E-04,1.59E-04,-1.47E-04,-5.02E-05,-4.42E-05,-1.48E-04,-4.35E-05,-1.47E-04,-1.62E-04,-4.46E-05,-3.08E-04,-4.37E-05,-1.09E-04,1.61E-04,9.76E-05,5.76E-05,-3.09E-04,7.64E-05,8.19E-05
755,6.28E-05,4.83E-05,-1.77E-05,6.76E-05,-1.26E-05,-4.82E-05,1.36E-04,-1.45E-05,-5.52E-05,-1.27E-05,-7.21E-05,-4.05E-05,4.53E-05,-1.78E-04,-1.23E-04,8.16E-05,2.15E-04,2.17E-05,-3.50E-04,1.96E-04,8.81E-05
760,3.46E-05,4.73E-05,2.54E-05,3.84E-05,3.04E-05,-4.73E-05,1.88E-04,2.81E-05,-5.81E-05,3.03E-05,-4.31E-05,-3.92E-05,1.99E-04,-2.18E-04,-1.23E-04,5.60E-05,2.47E-04,9.35E-06,-3.58E-04,2.30E-04,8.76E-05
765,2.50E-05,4.64E-05,3.87E-05,2.84E-05,4.35E-05,-4.65E-05,2.00E-04,4.11E-05,-5.82E-05,4.35E-05,-3.31E-05,-3.84E-05,2.35E-04,-2.27E-04,-1.21E-04,4.71E-05,2.52E-04,4.92E-06,-3.54E-04,2.36E-04,8.55E-05
770,2.11E-05,4.55E-05,4.14E-05,2.44E-05,4.60E-05,-4.56E-05,2.00E-04,4.37E-05,-5.73E-05,4.61E-05,-2.90E-05,-3.77E-05,2.31E-04,-2.25E-04,-1.16E-04,4.31E-05,2.48E-04,3.13E-06,-3.47E-04,2.33E-04,8.27E-05
775,1.99E-05,4.46E-05,4.23E-05,2.31E-05,4.69E-05,-4.47E-05,1.96E-04,4.45E-05,-5.63E-05,4.69E-05,-2.75E-05,-3.70E-05,2.17E-04,-2.21E-04,-1.12E-04,4.16E-05,2.44E-04,2.39E-06,-3.40E-04,2.29E-04,8.06E-05
780,1.92E-05,4.37E-05,4.19E-05,2.23E-05,4.63E-05,-4.38E-05,1.92E-04,4.39E-05,-5.52E-05,4.63E-05,-2.66E-05,-3.64E-05,2.00E-04,-2.17E-04,-1.08E-04,4.06E-05,2.39E-04,1.94E-06,-3.32E-04,2.24E-04,7.84E-05
785,1.87E-05,4.29E-05,4.10E-05,2.18E-05,4.52E-05,-4.30E-05,1.87E-04,4.29E-05,-5.40E-05,4.53E-05,-2.60E-05,-3.58E-05,1.84E-04,-2.12E-04,-1.04E-04,3.97E-05,2.33E-04,1.58E-06,-3.25E-04,2.19E-04,7.63E-05
790,1.84E-05,4.21E-05,3.99E-05,2.13E-05,4.41E-05,-4.22E-05,1.82E-04,4.17E-05,-5.30E-05,4.41E-05,-2.54E-05,-3.52E-05,1.69E-04,-2.08E-04,-1.01E-04,3.90E-05,2.28E-04,1.27E-06,-3.18E-04,2.14E-04,7.43E-05
795,1.81E-05,4.14E-05,3.89E-05,2.10E-05,4.28E-05,-4.15E-05,1.77E-04,4.05E-05,-5.19E-05,4.29E-05,-2.49E-05,-3.47E-05,1.55E-04,-2.03E-04,-9.72E-05,3.83E-05,2.23E-04,9.78E-07,-3.12E-04,2.09E-04,7.23E-05
800,1.79E-05,4.07E-05,3.78E-05,2.06E-05,4.16E-05,-4.08E-05,1.72E-04,3.93E-05,-5.09E-05,4.17E-05,-2.45E-05,-3.41E-05,1.42E-04,-1.99E-04,-9.40E-05,3.77E-05,2.18E-04,7.03E-07,-3.05E-04,2.05E-04,7.04E-05
805,0.00396085,0.003705896,-0.003247517,0.003954898,-0.003241707,-0.003705052,0.002087895,-0.003651975,-0.003329433,-0.003243432,-0.004033086,-0.003636066,-9.99456849,-0.006267733,-0.005906592,0.005356229,0.008540624,-6.69E-04,-0.008772201,0.008266892,0.001992721
810,-2.42E-04,2.06E-05,-5.02E-04,-2.57E-04,-4.87E-04,-7.68E-06,-4.42E-05,-4.65E-04,2.19E-05,-4.89E-04,2.67E-04,3.50E-05,-10.00033581,-3.55E-04,5.64E-04,-3.08E-04,-6.57E-04,-4.52E-05,4.26E-04,-6.54E-04,-1.56E-04
815,0.495216794,0.112603162,-0.62130387,0.495269619,-0.621119749,-0.112598849,-0.385263826,-0.624071868,-0.097141709,-0.621076318,-0.495270223,-0.112515557,-1.206665533,0.05410459,0.222495278,0.465234569,0.105664008,0.202311386,-0.052616042,0.02795283,0.227077375
820,0.047783015,0.009237733,0.020682801,0.047797401,0.020434739,-0.009212064,0.086953394,0.021608039,-0.012616871,0.020412793,-0.047467508,-0.009323287,-0.047871567,-0.061502593,0.008423488,0.04082813,-0.055293093,0.026330421,0.112526643,-0.062401786,0.003466168
825,0.050921052,0.032308255,-0.050612923,0.050919551,-0.050800942,-0.03229021,-0.033954797,-0.045792481,-0.041407347,-0.050822825,-0.050913565,-0.032376787,0.216845506,0.078962121,0.056450266,0.058746241,0.096411223,0.012873295,-0.054572563,0.081998474,0.051653963
830,-0.011221732,-0.00456675,-0.034654769,-0.009375695,-0.034590365,0.004515634,0.017010284,-0.034034451,-0.002356801,-0.034608171,0.009304771,0.004859532,-0.078340169,-0.056860343,-0.031783991,-0.010394948,-0.064999973,-0.00157033,0.016332738,-0.057927583,-0.029362735
835,-0.044669151,0.001673912,-0.008751247,-0.044850165,-0.008791095,-0.001638874,0.041789727,-0.008347317,-0.003206199,-0.008791036,0.044921119,-0.00172346,0.135638991,0.066547802,-0.005160456,-0.029533803,0.057452469,-0.03370857,-0.049466285,0.066408711,-0.003367959
840,-0.135505219,0.007741621,-0.011805252,-0.135546251,-0.011772942,-0.007725738,0.124818667,-0.010773325,-0.009106353,-0.011772929,0.135646437,-0.007714274,0.408570124,0.226570261,-0.018766491,-0.084979163,0.200966036,-0.10618675,0.306887818,0.227338609,-0.004581398
845,0.192271394,-0.01757532,-0.011658326,0.192360736,-0.011628531,0.01752611,-0.189404731,-0.013524523,0.015948329,-0.011630129,-0.192453493,0.017560598,-0.725907278,-0.398379641,-0.008834257,0.116650513,-0.367302762,0.154379526,3.596500412,-0.383599106,0.099032047
850,-0.022546145,-0.001072404,-0.035963577,-0.047630529,-0.03592641,0.00119452,0.042714001,-0.035878708,-4.20E-04,-0.035922111,0.047637611,0.001245612,-0.169050647,-0.06258022,-0.069693437,-0.033347725,-0.086688157,-0.034005336,-0.731671483,-0.081327696,-0.040072827
855,0.14268019,0.002468521,0.041147479,0.13909364,0.041122229,-0.002492442,-0.110190436,0.041233464,0.001057412,0.041109566,-0.13925034,-0.002452552,-0.119094257,-0.092064268,0.064569843,0.097716371,-0.052334902,0.09971666,1.219823933,-0.067386376,0.09047572
860,-0.01591708,0.01011163,0.003466215,-0.016607497,0.003352312,-0.010037365,-0.010718265,0.003537811,-0.009383539,0.003354698,0.016706088,-0.010158647,0.115312307,0.058178934,0.005585993,-0.003606151,0.055479499,-0.019606391,-0.223084353,0.059288352,-0.007467859
865,0.003595308,0.024157346,-0.008560701,0.003486403,-0.008625973,-0.024134986,-0.011755008,-0.007784467,-0.024277829,-0.008629083,-0.003508877,-0.024186376,0.154421979,0.110882896,0.03421311,0.020499542,0.115425902,-0.013623853,-0.128192902,0.115963192,0.012580152
870,-0.001383291,0.00346855,-6.92E-05,-0.001404223,-9.32E-05,-0.003460511,5.89E-04,1.65E-05,-0.003404183,-9.46E-05,0.001400968,-0.003479124,0.030754434,0.020583585,0.005047821,0.001748246,0.020977914,-0.003364211,-0.02489083,0.021301273,0.001839899
875,-9.26E-04,3.01E-04,6.41E-04,-9.31E-04,6.34E-04,-2.99E-04,0.001144421,6.36E-04,-2.56E-04,6.33E-04,9.29E-04,-3.04E-04,0.006763963,0.003891609,6.32E-04,-3.64E-04,0.003851247,-9.00E-04,-0.005386582,0.003991675,1.11E-04
880,-2.38E-04,9.44E-05,6.08E-05,-2.40E-04,5.88E-05,-9.34E-05,2.24E-04,5.98E-05,-8.48E-05,5.88E-05,2.40E-04,-9.52E-05,0.001613921,9.46E-04,1.17E-04,-8.15E-05,9.24E-04,-2.47E-04,-0.001403697,9.69E-04,2.57E-06
885,-5.74E-05,4.14E-05,-4.54E-05,-5.38E-05,-4.33E-05,-4.29E-05,1.53E-06,-3.99E-05,-4.65E-05,-4.32E-05,5.23E-05,-4.06E-05,3.52E-04,2.25E-04,2.21E-05,-2.86E-06,2.18E-04,-6.23E-05,-3.81E-04,2.31E-04,1.65E-07
890,-4.81E-05,1.45E-05,-5.41E-05,-3.62E-05,-4.54E-05,-2.05E-05,-2.20E-05,-3.63E-05,-3.55E-05,-4.52E-05,2.90E-05,-1.09E-05,3.81E-05,3.72E-05,3.23E-06,-1.18E-05,3.60E-05,-1.04E-05,-7.45E-05,3.68E-05,7.10E-06
895,-3.89E-05,6.69E-06,-5.49E-05,-2.62E-05,-4.50E-05,-1.34E-05,-3.03E-05,-3.51E-05,-3.06E-05,-4.48E-05,1.80E-05,-2.59E-06,-5.50E-05,-1.73E-05,-9.25E-07,-1.13E-05,-1.65E-05,5.84E-06,1.57E-05,-1.92E-05,9.57E-06
